SIMULATION RESULTS
____________________

Customer Number: 118, Arrival Time: 235.5643904, End Shopping Time: 276.16466984, End Wait Time: 276.16466984, End Checkout Time: 282.76466984
Customer Number: 128, Arrival Time: 249.8203842, End Shopping Time: 281.930239869, End Wait Time: 281.930239869, End Checkout Time: 287.090239869
Customer Number: 117, Arrival Time: 234.5062654, End Shopping Time: 283.031093554, End Wait Time: 283.031093554, End Checkout Time: 289.331093554
Customer Number: 130, Arrival Time: 252.1631647, End Shopping Time: 281.106315705, End Wait Time: 285.00631570499996, End Checkout Time: 289.656315705
Customer Number: 141, Arrival Time: 270.9955672, End Shopping Time: 282.218146722, End Wait Time: 286.86814672199995, End Checkout Time: 290.068146722
Customer Number: 124, Arrival Time: 248.3199115, End Shopping Time: 282.296944953, End Wait Time: 287.456944953, End Checkout Time: 292.93694495299997
Customer Number: 147, Arrival Time: 285.9576949, End Shopping Time: 292.997411796, End Wait Time: 292.997411796, End Checkout Time: 295.597411796
Customer Number: 113, Arrival Time: 224.2698828, End Shopping Time: 283.576543752, End Wait Time: 289.87654375200003, End Checkout Time: 297.076543752
Customer Number: 139, Arrival Time: 264.8224262, End Shopping Time: 288.75956067699997, End Wait Time: 294.239560677, End Checkout Time: 297.95956067699996
Customer Number: 153, Arrival Time: 295.3796952, End Shopping Time: 296.854917559, End Wait Time: 296.854917559, End Checkout Time: 298.054917559
Customer Number: 136, Arrival Time: 258.9513859, End Shopping Time: 294.822913576, End Wait Time: 294.822913576, End Checkout Time: 299.17291357600004
Customer Number: 149, Arrival Time: 286.7327249, End Shopping Time: 304.015220628, End Wait Time: 304.015220628, End Checkout Time: 307.315220628
Customer Number: 138, Arrival Time: 263.790565, End Shopping Time: 292.845618345, End Wait Time: 302.045618345, End Checkout Time: 307.68561834499997
Customer Number: 129, Arrival Time: 251.0843118, End Shopping Time: 289.16726830799996, End Wait Time: 302.66726830799996, End Checkout Time: 308.767268308
Customer Number: 154, Arrival Time: 295.7231892, End Shopping Time: 310.06488792, End Wait Time: 310.06488792, End Checkout Time: 313.06488792
Customer Number: 165, Arrival Time: 311.1704162, End Shopping Time: 311.89566782599996, End Wait Time: 311.89566782599996, End Checkout Time: 314.445667826
Customer Number: 144, Arrival Time: 279.994403, End Shopping Time: 304.62232065499995, End Wait Time: 310.26232065499994, End Checkout Time: 315.10232065499997
Customer Number: 159, Arrival Time: 304.7168656, End Shopping Time: 311.613354712, End Wait Time: 311.613354712, End Checkout Time: 315.213354712
Customer Number: 142, Arrival Time: 273.891746, End Shopping Time: 312.875564537, End Wait Time: 315.425564537, End Checkout Time: 319.275564537
Customer Number: 143, Arrival Time: 275.5347759, End Shopping Time: 312.1909795, End Wait Time: 315.79097950000005, End Checkout Time: 322.79097950000005
Customer Number: 156, Arrival Time: 298.563639, End Shopping Time: 315.590843488, End Wait Time: 319.44084348800004, End Checkout Time: 323.340843488
Customer Number: 161, Arrival Time: 305.3729692, End Shopping Time: 316.081840321, End Wait Time: 321.961840321, End Checkout Time: 325.201840321
Customer Number: 148, Arrival Time: 286.4751251, End Shopping Time: 314.852526158, End Wait Time: 319.69252615799996, End Checkout Time: 325.57252615799996
Customer Number: 158, Arrival Time: 304.3840589, End Shopping Time: 324.368540536, End Wait Time: 324.368540536, End Checkout Time: 327.568540536
Customer Number: 160, Arrival Time: 304.8019119, End Shopping Time: 317.14247998, End Wait Time: 324.14247998, End Checkout Time: 329.14247998
Customer Number: 145, Arrival Time: 280.3416299, End Shopping Time: 317.35596701, End Wait Time: 326.47596701, End Checkout Time: 331.95596701
Customer Number: 132, Arrival Time: 254.4154779, End Shopping Time: 324.65757529200005, End Wait Time: 327.85757529200004, End Checkout Time: 332.75757529200007
Customer Number: 151, Arrival Time: 290.0223829, End Shopping Time: 328.36565089600003, End Wait Time: 333.265650896, End Checkout Time: 337.96565089600006
Customer Number: 166, Arrival Time: 316.3285678, End Shopping Time: 328.926509932, End Wait Time: 334.406509932, End Checkout Time: 338.046509932
Customer Number: 152, Arrival Time: 291.481469, End Shopping Time: 321.95158966, End Wait Time: 333.95158966, End Checkout Time: 340.45158966
Customer Number: 172, Arrival Time: 321.4113329, End Shopping Time: 335.667416924, End Wait Time: 339.307416924, End Checkout Time: 342.627416924
Customer Number: 162, Arrival Time: 307.2701711, End Shopping Time: 327.691440444, End Wait Time: 339.191440444, End Checkout Time: 343.591440444
Customer Number: 178, Arrival Time: 335.6610154, End Shopping Time: 341.882559248, End Wait Time: 341.882559248, End Checkout Time: 344.48255924800003
Customer Number: 171, Arrival Time: 320.0837737, End Shopping Time: 331.9554058, End Wait Time: 341.5554058, End Checkout Time: 344.9054058
Customer Number: 164, Arrival Time: 310.3477088, End Shopping Time: 338.654910109, End Wait Time: 341.974910109, End Checkout Time: 346.014910109
Customer Number: 175, Arrival Time: 332.8735518, End Shopping Time: 343.110276088, End Wait Time: 345.710276088, End Checkout Time: 348.110276088
Customer Number: 174, Arrival Time: 330.6079382, End Shopping Time: 344.48323254099995, End Wait Time: 344.48323254099995, End Checkout Time: 349.78323254099996
Customer Number: 187, Arrival Time: 348.1215615, End Shopping Time: 349.104030072, End Wait Time: 349.104030072, End Checkout Time: 350.304030072
Customer Number: 150, Arrival Time: 289.3726732, End Shopping Time: 337.802878255, End Wait Time: 345.852878255, End Checkout Time: 350.602878255
Customer Number: 167, Arrival Time: 316.7173623, End Shopping Time: 340.427144962, End Wait Time: 347.787144962, End Checkout Time: 351.507144962
Customer Number: 170, Arrival Time: 319.5874675, End Shopping Time: 339.112200556, End Wait Time: 347.212200556, End Checkout Time: 351.512200556
Customer Number: 184, Arrival Time: 342.7161075, End Shopping Time: 351.645827472, End Wait Time: 351.645827472, End Checkout Time: 353.845827472
Customer Number: 173, Arrival Time: 328.5181725, End Shopping Time: 347.751065284, End Wait Time: 351.471065284, End Checkout Time: 354.791065284
Customer Number: 146, Arrival Time: 285.5238829, End Shopping Time: 344.784206545, End Wait Time: 350.08420654500003, End Checkout Time: 357.58420654500003
Customer Number: 192, Arrival Time: 353.6094512, End Shopping Time: 356.45230288000005, End Wait Time: 356.45230288000005, End Checkout Time: 357.85230288
Customer Number: 194, Arrival Time: 358.6613671, End Shopping Time: 360.89845859400003, End Wait Time: 360.89845859400003, End Checkout Time: 362.298458594
Customer Number: 176, Arrival Time: 334.5979101, End Shopping Time: 350.720015806, End Wait Time: 357.760015806, End Checkout Time: 362.440015806
Customer Number: 163, Arrival Time: 308.6102474, End Shopping Time: 350.311822952, End Wait Time: 359.361822952, End Checkout Time: 363.811822952
Customer Number: 157, Arrival Time: 303.6242658, End Shopping Time: 350.849357355, End Wait Time: 359.599357355, End Checkout Time: 364.349357355
Customer Number: 183, Arrival Time: 342.6329496, End Shopping Time: 352.760997647, End Wait Time: 361.960997647, End Checkout Time: 365.11099764700003
Customer Number: 155, Arrival Time: 297.0191744, End Shopping Time: 347.90253284, End Wait Time: 360.70253284, End Checkout Time: 367.70253284
Customer Number: 177, Arrival Time: 335.6154471, End Shopping Time: 361.001738289, End Wait Time: 365.681738289, End Checkout Time: 370.041738289
Customer Number: 191, Arrival Time: 352.5664146, End Shopping Time: 369.04259397, End Wait Time: 369.04259397, End Checkout Time: 372.24259397
Customer Number: 168, Arrival Time: 317.628469, End Shopping Time: 353.30228705, End Wait Time: 367.80228705, End Checkout Time: 373.30228705
Customer Number: 197, Arrival Time: 365.1241748, End Shopping Time: 372.533450758, End Wait Time: 372.533450758, End Checkout Time: 375.733450758
Customer Number: 180, Arrival Time: 337.8376254, End Shopping Time: 368.73790798799996, End Wait Time: 373.097907988, End Checkout Time: 379.217907988
Customer Number: 202, Arrival Time: 370.465658, End Shopping Time: 377.65283244, End Wait Time: 377.65283244, End Checkout Time: 380.65283244
Customer Number: 169, Arrival Time: 317.9620467, End Shopping Time: 364.13798317399994, End Wait Time: 376.63798317399994, End Checkout Time: 383.43798317399995
Customer Number: 189, Arrival Time: 352.0032782, End Shopping Time: 373.777461422, End Wait Time: 379.897461422, End Checkout Time: 383.857461422
Customer Number: 185, Arrival Time: 344.1691313, End Shopping Time: 380.54378446, End Wait Time: 380.54378446, End Checkout Time: 384.74378446
Customer Number: 188, Arrival Time: 351.7636287, End Shopping Time: 385.354827164, End Wait Time: 385.354827164, End Checkout Time: 390.114827164
Customer Number: 186, Arrival Time: 345.9983342, End Shopping Time: 387.55405305, End Wait Time: 387.55405305, End Checkout Time: 391.75405305
Customer Number: 181, Arrival Time: 338.2153823, End Shopping Time: 384.271668245, End Wait Time: 384.271668245, End Checkout Time: 391.771668245
Customer Number: 212, Arrival Time: 390.3202551, End Shopping Time: 394.09194114, End Wait Time: 394.09194114, End Checkout Time: 396.29194114
Customer Number: 198, Arrival Time: 365.1491076, End Shopping Time: 388.170734052, End Wait Time: 392.370734052, End Checkout Time: 396.520734052
Customer Number: 190, Arrival Time: 352.3691146, End Shopping Time: 387.93458190399997, End Wait Time: 392.69458190399996, End Checkout Time: 396.81458190399997
Customer Number: 210, Arrival Time: 386.0316424, End Shopping Time: 394.746958724, End Wait Time: 396.946958724, End Checkout Time: 400.146958724
Customer Number: 204, Arrival Time: 373.4336216, End Shopping Time: 394.079636472, End Wait Time: 398.199636472, End Checkout Time: 402.639636472
Customer Number: 200, Arrival Time: 366.079074, End Shopping Time: 391.46725740799997, End Wait Time: 399.817257408, End Checkout Time: 403.71725740799997
Customer Number: 182, Arrival Time: 341.1122787, End Shopping Time: 389.8701861, End Wait Time: 397.3701861, End Checkout Time: 404.3701861
Customer Number: 207, Arrival Time: 382.8955597, End Shopping Time: 395.907975788, End Wait Time: 402.907975788, End Checkout Time: 407.30797578799996
Customer Number: 208, Arrival Time: 384.4919218, End Shopping Time: 400.00557107, End Wait Time: 404.44557106999997, End Checkout Time: 407.76557106999996
Customer Number: 179, Arrival Time: 336.6095052, End Shopping Time: 402.33118291200003, End Wait Time: 406.231182912, End Checkout Time: 411.13118291200004
